"year" "meat" "amount"
"1.1" 1949 "Beef" 9.1
"2.1" 1950 "Beef" 9.8
"3.1" 1951 "Beef" 9.7
"4.1" 1952 "Beef" 10.1
"5.1" 1953 "Beef" 10.3
"6.1" 1954 "Beef" 10.5
"7.1" 1955 "Beef" 10.7
"8.1" 1956 "Beef" 10.8
"9.1" 1957 "Beef" 11.1
"10.1" 1958 "Beef" 11
"11.1" 1959 "Beef" 11.1
"12.1" 1960 "Beef" 11
"13.1" 1961 "Beef" 11.8
"14.1" 1962 "Beef" 12.2
"15.1" 1963 "Beef" 13.1
"16.1" 1964 "Beef" 13.4
"17.1" 1965 "Beef" 12.7
"18.1" 1966 "Beef" 12.8
"19.1" 1967 "Beef" 12.8
"20.1" 1968 "Beef" 12.6
"21.1" 1969 "Beef" 13.3
"22.1" 1970 "Beef" 13.1
"23.1" 1971 "Beef" 14.1
"24.1" 1972 "Beef" 14
"25.1" 1973 "Beef" 13.7
"26.1" 1974 "Beef" 13.1
"27.1" 1975 "Beef" 13.4
"28.1" 1976 "Beef" 13.6
"29.1" 1977 "Beef" 14
"30.1" 1978 "Beef" 14
"31.1" 1979 "Beef" 13.7
"32.1" 1980 "Beef" 14.9
"33.1" 1981 "Beef" 15.1
"34.1" 1982 "Beef" 14.6
"35.1" 1983 "Beef" 14.1
"36.1" 1984 "Beef" 14.3
"37.1" 1985 "Beef" 15.2
"38.1" 1986 "Beef" 14.7
"39.1" 1987 "Beef" 15.2
"40.1" 1988 "Beef" 14
"41.1" 1989 "Beef" 13.4
"42.1" 1990 "Beef" 13.6
"43.1" 1991 "Beef" 14
"44.1" 1992 "Beef" 13.6
"45.1" 1993 "Beef" 13.1
"46.1" 1994 "Beef" 12
"47.1" 1995 "Beef" 11.7
"48.1" 1996 "Beef" 10.8
"49.1" 1997 "Beef" 11
"50.1" 1998 "Beef" 11.3
"51.1" 1999 "Beef" 11.5
"52.1" 2000 "Beef" 10.3
"53.1" 2001 "Beef" 9.7
"54.1" 2002 "Beef" 10.6
"55.1" 2003 "Beef" 10.2
"56.1" 2004 "Beef" 10.2
"57.1" 2005 "Beef" 10.4
"58.1" 2006 "Beef" 10.9
"59.1" 2007 "Beef" 10.7
"1.2" 1949 "Veal" 3.8
"2.2" 1950 "Veal" 4.1
"3.2" 1951 "Veal" 3.9
"4.2" 1952 "Veal" 4.1
"5.2" 1953 "Veal" 4.3
"6.2" 1954 "Veal" 4.2
"7.2" 1955 "Veal" 4.1
"8.2" 1956 "Veal" 4.1
"9.2" 1957 "Veal" 4.3
"10.2" 1958 "Veal" 4.2
"11.2" 1959 "Veal" 4.3
"12.2" 1960 "Veal" 4.5
"13.2" 1961 "Veal" 4.7
"14.2" 1962 "Veal" 4.8
"15.2" 1963 "Veal" 4.6
